Orð;Mark;Lemma;Leiðrétt mark;Leiðrétt lemma
.;punct;.;;
Þeir;fpkfn;hann;;
voru;sfg3fþ;vera;;
þar;aa;þar;;
í;aþ;í;;
för;nveþ;för;;
fóstbræður;nkfn;fóstbróðir;;
Þorgeir;nken-s;Þorgeir;;
og;c;og;;
Þormóður;nken-s;Þormóður;;
.;punct;.;;
Ríða;sfg3fn;ríða;;
nú;aa;nú;;
undan;aþ;undan;;
flokkarnir;nkfng;flokkur;;
.;punct;.;;
En;c;en;;
er;c;er;;
þeir;fpkfn;hann;;
fóstbræður;nkfn;fóstbróðir;;
riðu;svg3fþ;ríða;;
inn;aa;inn;;
að;aa;að;;
á;aþ;á;;
þeirri;faveþ;sá;;
er;ct;er;;
heitir;sfg3en;heita;;
Drífandi;nken-s;Drífandi;;
,;punct;,;;
hún;fpven;hún;;
er;sfg3en;vera;;
í;aþ;í;;
Gilsfirði;nkeþ-s;Gilsfjörður;;
,;punct;,;;
þá;aa;þá;;
mælti;sfg3eþ;mæla;;
Þorgeir;nken-s;Þorgeir;;
:;punct;:;;
«;punct;«;;
Hvar;aa;hvar;;
veistu;sfg2en;vita;;
aðra;fokfo;annar;;
tvo;tfkfo;tveir;;
fóstbræður;nkfo;fóstbróðir;;
,;punct;,;;
þá;aa;þá;;
að;c;að;;
okkur;fp1fþ;ég;;
séu;svg3fn;vera;;
jafnir;lkfnsf;jafn;;
að;aþ;að;;
hraustleika;nkeþ;hraustleiki;;
og;c;og;;
framgöngu;nveþ;framganga;;
?;punct;?;;
»;punct;»;;
Þormóður;nken-s;Þormóður;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Finnast;x;Finnast;;
ætla;sfg1en;ætla;;
eg;fp1en;eg;;
munu;sng;munu;;
ef;c;ef;;
víða;aa;víða;;
er;sfg3en;vera;;
leitað;sþghen;leita;;
.;punct;.;;
»;punct;»;;
Þorgeir;nken-s;Þorgeir;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Það;fphen;það;;
ætla;sfg1en;ætla;;
eg;fp1en;eg;;
að;c;að;;
hvergi;aa;hvergi;;
finnist;svm3en;finna;;
á;aþ;á;;
Íslandi;nheþ-s;Ísland;;
.;punct;.;;
En;c;en;;
hvað;fsheo;hver;;
ætlar;sfg2en;ætla;;
þú;fp2en;þú;;
hvor;foken;hvor;;
okkar;fp1fe;ég;;
muni;svg3en;munu;;
af;aþ;af;;
öðrum;fokeþ;annar;;
bera;nkeþ;beri;;
ef;c;ef;;
við;fp1fn;ég;;
reynum;sfg1fn;reyna;;
með;aþ;með;;
okkur;fp1fþ;ég;;
?;punct;?;;
»;punct;»;;
«;punct;«;;
Það;fpheo;það;;
veit;sfg1en;vita;;
eg;fp1en;eg;;
eigi;aa;eigi;;
,;punct;,;;
»;punct;»;;
segir;sfg3en;segja;;
Þormóður;nken-s;Þormóður;;
,;punct;,;;
«;punct;«;;
en;c;en;;
hitt;faheo;hinn;;
veit;sfg1en;vita;;
eg;fp1en;eg;;
að;cn;að;;
sjá;sng;sjá;;
spurning;nven;spurning;;
þín;feven;þinn;;
mun;sfg3en;munu;;
skilja;sng;skilja;;
félag;nheo;félag;;
með;aþ;með;;
okkur;fp1fþ;ég;;
og;c;og;;
föruneyti;nheo;föruneyti;;
.;punct;.;;
»;punct;»;;
Í;aþ;í;;
þessu;faheþ;þessi;;
bili;nheþ;bil;;
ríður;sfg3en;ríða;;
Þorgeir;nken-s;Þorgeir;;
fram;aa;fram;;
fyrir;ao;fyrir;;
hamarinn;nkeog;hamar;;
.;punct;.;;
Sjórinn;nkeng;sjór;;
var;sfg3eþ;vera;;
að;c;að;;
fallinn;lkensf;fallinn;;
svo;aa;svo;;
að;c;að;;
hesturinn;nkeng;hestur;;
var;sfg3eþ;vera;;
nær;aa;nær;;
á;aþ;á;;
sundi;nheþ;sund;;
undir;aþ;undir;;
honum;fpkeþ;hann;;
.;punct;.;;
Og;c;og;;
er;c;er;;
hann;fpken;hann;;
kom;sfg3eþ;koma;;
fyrir;ao;fyrir;;
forvaðann;nkeog;forvaði;;
þá;aa;þá;;
hleypur;sfg3en;hlaupa;;
hann;fpken;hann;;
af;aþ;af;;
baki;nheþ;bak;;
.;punct;.;;
Hann;fpken;hann;;
sá;sfg3eþ;sjá;;
þá;aa;þá;;
að;c;að;;
Þormóður;nken-s;Þormóður;;
sneri;sfg3eþ;snúa;;
hesti;nkeþ;hestur;;
sínum;fekeþ;sinn;;
út;aa;út;;
með;aþ;með;;
firðinum;nkeþg;fjörður;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
kallaði;sfg3eþ;kalla;;
þá;aa;þá;;
að;c;að;;
Þormóður;nken-s;Þormóður;;
skyldi;svg3eþ;skulu;;
ríða;sng;ríða;;
fyrir;ao;fyrir;;
hamarinn;nkeog;hamar;;
.;punct;.;;
Þormóður;nken-s;Þormóður;;
svarar;sfg3en;svara;;
:;punct;:;;
«;punct;«;;
Skilja;nven;skilja;;
mun;sfg3en;munu;;
með;aþ;með;;
okkur;fp1fþ;ég;;
fyrst;aae;snemmt;;
að;aþ;að;;
sinni;nheþ;sinn;;
og;c;og;;
far;sbg2en;fara;;
þú;fp2en;þú;;
heill;lkensf;heill;;
og;c;og;;
vel;aa;vel;;
.;punct;.;;
»;punct;»;;
Eftir;ao;eftir;;
það;fpheo;það;;
reið;sfg3eþ;ríða;;
Þormóður;nken-s;Þormóður;;
út;aa;út;;
aftur;aa;aftur;;
með;aþ;með;;
Gilsfirði;nkeþ-s;Gilsfjörður;;
og;c;og;;
létti;sfg3eþ;létta;;
eigi;aa;eigi;;
fyrr;aam;snemmt;;
ferð;nveþ;ferð;;
sinni;feveþ;sinn;;
en;c;en;;
hann;fpken;hann;;
kom;sfg3eþ;koma;;
heim;aa;heim;;
á;ao;á;;
Laugaból;nheo-s;Laugaból;;
til;ae;til;;
Bersa;nkee-s;Bersi;;
föður;nkee;faðir;;
síns;fekee;sinn;;
.;punct;.;;
Eftir;ao;eftir;;
skilnað;nkeo;skilnaður;;
þenna;fakeo;þenna;;
stígur;sfg3en;stíga;;
Þorgeir;nken-s;Þorgeir;;
á;ao;á;;
hest;nkeo;hestur;;
sinn;fekeo;sinn;;
og;c;og;;
ríður;sfg3en;ríða;;
eftir;aþ;eftir;;
flokkinum;nkeþg;flokkur;;
og;c;og;;
er;sfg3en;vera;;
hann;fpken;hann;;
kemur;sfg3en;koma;;
í;aþ;í;;
Saurbæ;nkeþ-s;Saurbær;;
þá;aa;þá;;
var;sfg3eþ;vera;;
flokkurinn;nkeng;flokkur;;
riðinn;sþgken;ríða;;
upp;aa;upp;;
til;ae;til;;
Svínadals;nkee-s;Svínadalur;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
reið;sfg3eþ;ríða;;
snúðigt;aa;snúðigt;;
mjög;aa;mjög;;
.;punct;.;;
Sá;faken;sá;;
maður;nken;maður;;
bjó;sfg3eþ;búa;;
að;aþ;að;;
Máskeldu;nveþ-s;Máskelda;;
er;sfg3en;vera;;
Hlenni;nken;hlenni;;
hét;sfg3eþ;heita;;
.;punct;.;;
Sá;faken;sá;;
maður;nken;maður;;
var;sfg3eþ;vera;;
á;aþ;á;;
vist;nveþ;vist;;
með;aþ;með;;
honum;fpkeþ;hann;;
er;ct;er;;
Torfi;nken-s;Torfi;;
hét;sfg3eþ;heita;;
.;punct;.;;
Hann;fpken;hann;;
var;sfg3eþ;vera;;
kallaður;sþgken;kalla;;
böggull;nken;böggull;;
.;punct;.;;
Hann;fpken;hann;;
var;sfg3eþ;vera;;
farinn;sþgken;fara;;
ofan;aa;ofan;;
til;ae;til;;
árinnar;nveeg;á;;
að;cn;að;;
höggva;sng;höggva;;
hrísbyrði;nveo;hrísbyrði;;
á;ao;á;;
bak;nheo;bak;;
sér;fpkeþ;sig;;
.;punct;.;;
Hann;fpken;hann;;
hafði;sfg3eþ;hafa;;
lagt;ssg;leggja;;
hana;fpveo;hún;;
upp;aa;upp;;
á;ao;á;;
bak;nheo;bak;;
sér;fpkeþ;sig;;
en;c;en;;
Þorgeir;nken-s;Þorgeir;;
reið;sfg3eþ;ríða;;
neðan;aa;neðan;;
eftir;aþ;eftir;;
bökkunum;nkfþg;bakki;;
.;punct;.;;
Og;c;og;;
er;sfg3en;vera;;
Þorgeir;nken-s;Þorgeir;;
kom;sfg3eþ;koma;;
gegnt;aþ;gegnt;;
honum;fpkeþ;hann;;
þá;aa;þá;;
kallaði;sfg3eþ;kalla;;
hann;fpken;hann;;
á;ao;á;;
hann;fpkeo;hann;;
og;c;og;;
spurði;sfg3eþ;spyrja;;
hvað;fsheo;hver;;
er;sfg3en;vera;;
hann;fpken;hann;;
héti;svg3eþ;heita;;
.;punct;.;;
En;c;en;;
Torfi;nken-s;Torfi;;
heyrði;sfg3eþ;heyra;;
eigi;aa;eigi;;
að;c;að;;
hann;fpken;hann;;
kallaði;sfg3eþ;kalla;;
á;ao;á;;
hann;fpkeo;hann;;
í;aþ;í;;
því;fpheþ;það;;
að;aþ;að;;
veðrinu;nheþg;veður;;
laust;aa;laust;;
í;ao;í;;
byrðina;nveog;byrði;;
.;punct;.;;
En;c;en;;
Þorgeir;nken-s;Þorgeir;;
vildi;sfg3eþ;vilja;;
spyrja;sng;spyrja;;
að;aþ;að;;
flokkinum;nkeþg;flokkur;;
og;c;og;;
kallaði;sfg3eþ;kalla;;
á;ao;á;;
hann;fpkeo;hann;;
nokkurum;fohfþ;nokkur;;
sinnum;nhfþ;sinn;;
en;c;en;;
Torfi;nken-s;Torfi;;
heyrði;sfg3eþ;heyra;;
aldrei;aa;aldrei;;
.;punct;.;;
En;c;en;;
er;sfg3en;vera;;
Þorgeiri;nkeþ-s;Þorgeir;;
leiddist;sfm3eþ;leiða;;
á;sfg3en;eiga;;
hann;fpken;hann;;
að;cn;að;;
kalla;sng;kalla;;
reiddist;sfm3eþ;reiðast;;
hann;fpken;hann;;
við;aa;við;;
er;c;er;;
honum;fpkeþ;hann;;
var;sfg3eþ;vera;;
áður;aa;áður;;
skapþungt;lhensf;skapþungur;;
.;punct;.;;
Hann;fpken;hann;;
ríður;sfg3en;ríða;;
þá;aa;þá;;
yfir;ao;yfir;;
ána;nveog;á;;
að;aþ;að;;
Torfa;nkeþ-s;Torfi;;
og;c;og;;
leggur;sfg3en;leggja;;
spjóti;nheþ;spjót;;
í;aa;í;;
gegnum;ao;gegnum;;
hann;fpkeo;hann;;
.;punct;.;;
Torfi;nken-s;Torfi;;
var;sfg3eþ;vera;;
þegar;aa;þegar;;
dauður;lkensf;dauður;;
.;punct;.;;
Þar;aa;þar;;
var;sfg3eþ;vera;;
síðan;aa;síðan;;
kallaður;sþgken;kalla;;
Böggullækur;nken-s;Böggullækur;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
reið;sfg3eþ;ríða;;
þá;faveo;sá;;
leið;nveo;leið;;
sína;feveo;sinn;;
þar;aa;þar;;
til;aa;til;;
er;c;er;;
hann;fpken;hann;;
náði;sfg3eþ;ná;;
þeim;fpkfþ;hann;;
Illuga;nkeþ-s;Illugi;;
suður;aa;suður;;
í;aþ;í;;
Mjósundi;nheþ-s;Mjósund;;
.;punct;.;;
Segir;sfg3en;segja;;
hann;fpken;hann;;
þeim;fpkfþ;hann;;
þá;aa;þá;;
víg;lvensf;vígur;;
Torfa;nven;torfa;;
.;punct;.;;
Þeir;fpkfn;hann;;
láta;sfg3fn;láta;;
lítt;aa;lítt;;
yfir;aþ;yfir;;
verki;nheþ;verk;;
þessu;faheþ;þessi;;
.;punct;.;;
];punct;];;
Maður;nken;maður;;
hét;sfg3eþ;heita;;
Skúfur;nken-s;Skúfur;;
er;ct;er;;
bjó;sfg3eþ;búa;;
í;aþ;í;;
Hundadal;nkeþ-s;Hundadalur;;
í;aþ;í;;
Dölum;nkfþ-s;Dalur;;
.;punct;.;;
Skúfur;nken-s;Skúfur;;
var;sfg3eþ;vera;;
góður;lkensf;góður;;
bóndi;nken;bóndi;;
og;c;og;;
gagnsamur;lkensf;gagnsamur;;
við;ao;við;;
menn;nkfo;maður;;
.;punct;.;;
Bjarni;nken-s;Bjarni;;
hét;sfg3eþ;heita;;
sonur;nken;sonur;;
Skúfs;nkee-s;Skúfur;;
er;ct;er;;
þar;aa;þar;;
var;sfg3eþ;vera;;
heima;aa;heima;;
með;aþ;með;;
honum;fpkeþ;hann;;
.;punct;.;;
Skúfur;nken-s;Skúfur;;
hét;sfg3eþ;heita;;
og;c;og;;
sauðamaður;nken;sauðamaður;;
Skúfs;nkee-s;Skúfur;;
í;aþ;í;;
Hundadal;nkeþ-s;Hundadalur;;
.;punct;.;;
Nú;aa;nú;;
fara;sfg3fn;fara;;
menn;nkfn;maður;;
til;ae;til;;
þings;nhee;þing;;
en;c;en;;
þeir;fpkfn;hann;;
fara;sfg3fn;fara;;
vestan;aa;vestan;;
af;aþ;af;;
Reykjahólum;nkfþ-s;Reykjahólar;;
.;punct;.;;
Þeir;fpkfn;hann;;
hafa;sfg3fn;hafa;;
sent;ssg;senda;;
menn;nkfo;maður;;
fyrir;aa;fyrir;;
til;ae;til;;
þings;nhee;þing;;
að;cn;að;;
tjalda;sng;tjalda;;
búðir;nvfo;búð;;
sínar;fevfo;sinn;;
.;punct;.;;
Þeir;fpkfn;hann;;
hafa;sfg3fn;hafa;;
náttverð;nkeo;náttverður;;
í;aþ;í;;
Saurbæ;nkeþ-s;Saurbær;;
en;c;en;;
ríða;sfg3fn;ríða;;
um;ao;um;;
nóttina;nveog;nótt;;
vestan;aa;vestan;;
í;ao;í;;
Dali;nkfo-s;Dalur;;
og;c;og;;
ætluðu;sfg3fþ;ætla;;
að;cn;að;;
hafa;sng;hafa;;
dagverð;nkeo;dagverður;;
í;aþ;í;;
Hundadal;nkeþ-s;Hundadalur;;
.;punct;.;;
Þeir;fpkfn;hann;;
koma;sfg3fn;koma;;
er;aa;er;;
morgnast;ssm;morgna;;
í;ao;í;;
Miðdali;nkfo-s;Miðdalir;;
,;punct;,;;
fram;aa;fram;;
fyrir;ao;fyrir;;
Þykkvaskóga;nkeo-s;Þykkvaskógi;;
.;punct;.;;
Þeir;fpkfn;hann;;
eta;sfg3fn;eta;;
þar;aa;þar;;
og;c;og;;
sofa;sng;sofa;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
hefir;sfg3en;hafa;;
rauðan;lkeosf;rauður;;
hest;nkeo;hestur;;
,;punct;,;;
vænan;lkeosf;vænn;;
og;c;og;;
reiðgóðan;lkeosf;reiðgóður;;
og;c;og;;
mikinn;lkeosf;mikill;;
vexti;nkeþ;vöxtur;;
.;punct;.;;
Og;c;og;;
er;sfg3en;vera;;
liðinn;sþgken;líða;;
var;sfg3eþ;vera;;
miður;aam;lítt;;
morgunn;x;morgunn;;
þá;aa;þá;;
bjóða;sfg3fn;bjóða;;
förunautar;nkfn;förunautur;;
þeirra;fpkfe;hann;;
að;cn;að;;
taka;sng;taka;;
hesta;nkfo;hestur;;
.;punct;.;;
Nú;aa;nú;;
rísa;sfg3fn;rísa;;
þeir;fpkfn;hann;;
upp;aa;upp;;
og;c;og;;
fara;sng;fara;;
að;aþ;að;;
hrossum;nhfþ;hross;;
.;punct;.;;
Hestur;nken;hestur;;
Þorgeirs;nkee-s;Þorgeir;;
fannst;sfm3eþ;finna;;
eigi;aa;eigi;;
.;punct;.;;
Þeir;fpkfn;hann;;
fóru;sfg3fþ;fara;;
að;cn;að;;
leita;sng;leita;;
hestsins;nkeeg;hestur;;
því;fpheþ;það;;
að;c;að;;
þar;aa;þar;;
voru;sfg3fþ;vera;;
miklir;lkfnsf;mikill;;
skógar;nkfn;skógur;;
um;ao;um;;
alla;foveo;allur;;
hlíðina;nveog;hlíð;;
.;punct;.;;
Svo;aa;svo;;
lýkur;sfg3en;ljúka;;
að;c;að;;
hesturinn;nkeng;hestur;;
finnst;sfm3en;finna;;
eigi;aa;eigi;;
.;punct;.;;
Taka;sfg3fn;taka;;
þeir;fpkfn;hann;;
þá;aa;þá;;
einn;tfkeo;einn;;
klyfjahest;nkeo;klyfjahestur;;
og;c;og;;
skipta;sng;skipta;;
klyfjum;nvfþ;klyf;;
á;ao;á;;
fleiri;lkfovm;margur;;
hesta;nkfo;hestur;;
.;punct;.;;
Þorgeiri;nkeþ-s;Þorgeir;;
er;sfg3en;vera;;
þá;aa;þá;;
fenginn;sþgken;fá;;
sá;faken;sá;;
hestur;nken;hestur;;
.;punct;.;;
Geta;sfg3fn;geta;;
þá;aa;þá;;
að;cn;að;;
líta;sng;líta;;
hvar;aa;hvar;;
einn;lkensf;einn;;
maður;nken;maður;;
ríður;sfg3en;ríða;;
rauðum;lkeþsf;rauður;;
hesti;nkeþ;hestur;;
,;punct;,;;
reiðgóðum;lkeþsf;reiðgóður;;
,;punct;,;;
og;c;og;;
rekur;sfg3en;reka;;
sauði;nkfo;sauður;;
nokkura;foveo;nokkur;;
fyrir;aþ;fyrir;;
sér;fpkeþ;sig;;
upp;aa;upp;;
eftir;aþ;eftir;;
eyrunum;nhfþg;eyra;;
frá;aþ;frá;;
Sauðafelli;nheþ-s;Sauðafell;;
.;punct;.;;
Hann;fpken;hann;;
eltir;sfg3en;elta;;
hart;aa;hart;;
sauðina;nkfog;sauður;;
því;fpheþ;það;;
að;c;að;;
hann;fpken;hann;;
hafði;sfg3eþ;hafa;;
skjótan;lkeosf;skjótur;;
hest;nkeo;hestur;;
.;punct;.;;
Þorgeiri;nkeþ-s;Þorgeir;;
sýnist;sfm3en;sýna;;
þessi;faken;þessi;;
hestur;nken;hestur;;
vera;sng;vera;;
líkur;lkensf;líkur;;
sínum;fekeþ;sinn;;
hesti;nkeþ;hestur;;
.;punct;.;;
Nú;aa;nú;;
lætur;sfg3en;láta;;
hann;fpken;hann;;
sem;ct;sem;;
hann;fpken;hann;;
viti;svg3en;vita;;
eigi;aa;eigi;;
,;punct;,;;
hefir;sfg3en;hafa;;
af;aa;af;;
augabragð;nheo;augabragð;;
hvert;foheo;hver;;
maðurinn;nkeng;maður;;
ríður;sfg3en;ríða;;
og;c;og;;
sér;sfg3en;sjá;;
hann;fpken;hann;;
hvar;aa;hvar;;
maðurinn;nkeng;maður;;
eltir;sfg3en;elta;;
sauðina;nkfog;sauður;;
til;ae;til;;
bæjarins;nkeeg;bær;;
í;aþ;í;;
Hundadal;nkeþ-s;Hundadalur;;
.;punct;.;;
Skúfi;nkeþ-s;Skúfur;;
höfðu;sfg3fþ;hafa;;
goldnar;sþgvfn;gjalda;;
verið;ssg;vera;;
ær;lhfnsf;ær;;
nokkurar;fovfo;nokkur;;
vestan;aa;vestan;;
úr;aþ;úr;;
Laxárdal;nkeþ-s;Laxárdalur;;
og;c;og;;
höfðu;sfg3fþ;hafa;;
þær;fpvfn;hún;;
gengið;ssg;ganga;;
í;aa;í;;
brott;aa;brott;;
og;c;og;;
fór;sfg3eþ;fara;;
Bjarni;nken-s;Bjarni;;
son;nken;son;;
Skúfs;nkee-s;Skúfur;;
að;cn;að;;
leita;sng;leita;;
ánna;nveog;án;;
og;c;og;;
hafði;sfg3eþ;hafa;;
hann;fpken;hann;;
tekið;ssg;taka;;
hest;nkeo;hestur;;
Þorgeirs;nkee-s;Þorgeir;;
.;punct;.;;
Nú;aa;nú;;
ríður;sfg3en;ríða;;
flokkurinn;nkeng;flokkur;;
til;ae;til;;
bæjarins;nkeeg;bær;;
í;aþ;í;;
Hundadal;nkeþ-s;Hundadalur;;
og;c;og;;
bjóða;sfg3fn;bjóða;;
þeir;fpkfn;hann;;
bræður;nkfn;bróðir;;
förunautum;nkfþ;förunautur;;
sínum;fekfþ;sinn;;
að;c;að;;
þeir;fpkfn;hann;;
taki;svg3fn;taka;;
af;aþ;af;;
hestum;nkfþ;hestur;;
sínum;fekfþ;sinn;;
utan;ae;utan;;
garðs;nkee;garður;;
og;c;og;;
láta;sng;láta;;
eigi;svg3en;eiga;;
hrossin;nhfog;hross;;
ganga;sng;ganga;;
í;ao;í;;
túnið;nheog;tún;;
.;punct;.;;
En;c;en;;
þeir;fpkfn;hann;;
bræður;nkfn;bróðir;;
riðu;sfg3fþ;ríða;;
til;ae;til;;
húss;nhee;hús;;
með;aþ;með;;
fá;lheþsf;fár;;
menn;nkfo;maður;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
reið;sfg3eþ;ríða;;
til;ae;til;;
kvíanna;nvfeg;kví;;
þar;aa;þar;;
sem;c;sem;;
hann;fpken;hann;;
þóttist;sfm3eþ;þykja;;
kenna;sng;kenna;;
hest;nkeo;hestur;;
sinn;fekeo;sinn;;
.;punct;.;;
Skúfur;nken-s;Skúfur;;
er;sfg3en;vera;;
þá;aa;þá;;
heim;aa;heim;;
kominn;sþgken;koma;;
og;c;og;;
rak;sfg3eþ;reka;;
sauðinn;nkeog;sauður;;
í;ao;í;;
kvína;nveog;kví;;
.;punct;.;;
Bjarni;nken-s;Bjarni;;
situr;sfg3en;sitja;;
á;aþ;á;;
hestinum;nkeþg;hestur;;
og;c;og;;
hefir;sfg3en;hafa;;
þá;aa;þá;;
rekið;ssg;reka;;
ærnar;lvensf;ærnar;;
í;ao;í;;
kvína;nveog;kví;;
þær;favfn;sá;;
sem;ct;sem;;
hann;fpken;hann;;
hafði;sfg3eþ;hafa;;
fundið;ssg;finna;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
spyr;sfg3en;spyrja;;
:;punct;:;;
«;punct;«;;
Hver;fsken;hver;;
er;sfg3en;vera;;
þessi;faken;þessi;;
maður;nken;maður;;
er;sfg3en;vera;;
hér;aa;hér;;
situr;sfg3en;sitja;;
á;aþ;á;;
hestbaki;nheþ;hestbak;;
?;punct;?;;
»;punct;»;;
«;punct;«;;
Sá;faken;sá;;
heitir;sfg3en;heita;;
Bjarni;nken-s;Bjarni;;
.;punct;.;;
»;punct;»;;
Þorgeir;nken-s;Þorgeir;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Þú;fp2en;þú;;
hefir;sfg2en;hafa;;
vænlegan;lkeosf;vænlegur;;
hest;nkeo;hestur;;
eða;c;eða;;
hver;foven;hver;;
á;ao;á;;
hestinn;nkeog;hestur;;
?;punct;?;;
»;punct;»;;
Bjarni;nken-s;Bjarni;;
svarar;sfg3en;svara;;
:;punct;:;;
«;punct;«;;
Sannspurt;lhensf;sannspurður;;
er;sfg3en;vera;;
það;fphen;það;;
að;c;að;;
hesturinn;nkeng;hestur;;
er;sfg3en;vera;;
vænlegur;lkensf;vænlegur;;
en;c;en;;
það;fpheo;það;;
veit;sfg1en;vita;;
eg;fp1en;eg;;
eigi;aa;eigi;;
hver;fsken;hver;;
hann;fpken;hann;;
á;sfg3en;eiga;;
.;punct;.;;
»;punct;»;;
Þorgeir;nken-s;Þorgeir;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Fyrir;ao;fyrir;;
hví;aa;hví;;
tókstu;sfg2eþ;taka;;
hestinn;nkeog;hestur;;
?;punct;?;;
»;punct;»;;
Bjarni;nken-s;Bjarni;;
svarar;sfg3en;svara;;
:;punct;:;;
«;punct;«;;
Því;aa;því;;
tók;sfg1eþ;taka;;
eg;fp1en;eg;;
hestinn;nkeog;hestur;;
að;c;að;;
mér;fp1eþ;ég;;
þótti;sfg3eþ;þykja;;
betra;lhenvm;góður;;
að;cn;að;;
ríða;sng;ríða;;
en;c;en;;
ganga;sng;ganga;;
.;punct;.;;
»;punct;»;;
Þorgeir;nken-s;Þorgeir;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Það;fphen;það;;
sýnist;sfm3en;sýna;;
mér;fp1eþ;ég;;
nú;aa;nú;;
ráð;nhen;ráð;;
að;c;að;;
þú;fp2en;þú;;
stígir;svg2en;stíga;;
af;aþ;af;;
baki;nheþ;bak;;
og;c;og;;
látir;svg2en;láta;;
hestinn;nkeog;hestur;;
koma;sng;koma;;
í;ao;í;;
hendur;nvfo;hönd;;
eiganda;nkee;eigandi;;
.;punct;.;;
»;punct;»;;
Bjarni;nken-s;Bjarni;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Eg;fp1en;Eg;;
mun;sfg1en;munu;;
nú;aa;nú;;
litlu;lheþsf;lítill;;
við;ao;við;;
auka;nkeo;auki;;
um;ao;um;;
reiðina;nveog;reiði;;
því;fpheþ;það;;
að;c;að;;
eg;fp1en;eg;;
mun;sfg1en;munu;;
eigi;aa;eigi;;
lengra;aam;langt;;
ríða;sng;ríða;;
en;c;en;;
heim;aa;heim;;
til;ae;til;;
dyra;nvfe;dyr;;
.;punct;.;;
»;punct;»;;
Þorgeir;nken-s;Þorgeir;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Það;fpheo;það;;
vil;sfg1en;vilja;;
eg;fp1en;eg;;
að;c;að;;
þú;fp2en;þú;;
stígir;svg2en;stíga;;
nú;aa;nú;;
þegar;aa;þegar;;
af;aþ;af;;
baki;nheþ;bak;;
.;punct;.;;
»;punct;»;;
Bjarni;nken-s;Bjarni;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Ekki;aa;ekki;;
mun;sfg3en;munu;;
hestinn;nkeog;hestur;;
skaða;sng;skaða;;
þótt;c;þótt;;
eg;fp1en;eg;;
ríði;svg1en;ríða;;
heim;aa;heim;;
til;ae;til;;
húss;nhee;hús;;
.;punct;.;;
»;punct;»;;
Þorgeir;nken-s;Þorgeir;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Eg;fp1en;Eg;;
vil;sfg1en;vilja;;
þessu;faheþ;þessi;;
ráða;sng;ráða;;
að;c;að;;
þú;fp2en;þú;;
ríðir;svg2en;ríða;;
eigi;aa;eigi;;
lengra;aam;langt;;
að;aþ;að;;
sinni;nheþ;sinn;;
.;punct;.;;
»;punct;»;;
Bjarni;nken-s;Bjarni;;
vill;sfg3en;vilja;;
snúa;sng;snúa;;
hestinum;nkeþg;hestur;;
heim;aa;heim;;
til;ae;til;;
garðshliðsins;nheeg;garðshlið;;
og;c;og;;
ríða;sfg3fn;ríða;;
heim;aa;heim;;
til;ae;til;;
húss;nhee;hús;;
en;c;en;;
Þorgeir;nken-s;Þorgeir;;
leggur;sfg3en;leggja;;
spjótinu;nheþg;spjót;;
til;ae;til;;
hans;fpkee;hann;;
og;c;og;;
þegar;aa;þegar;;
í;aa;í;;
gegnum;ao;gegnum;;
svo;aa;svo;;
að;c;að;;
hann;fpken;hann;;
féll;sfg3eþ;falla;;
þegar;c;þegar;;
dauður;lkensf;dauður;;
af;aþ;af;;
baki;nheþ;bak;;
.;punct;.;;
Skúfur;nken-s;Skúfur;;
sauðamaður;nken;sauðamaður;;
sá;faken;sá;;
að;c;að;;
Bjarni;nken-s;Bjarni;;
féll;sfg3eþ;falla;;
af;aþ;af;;
baki;nheþ;bak;;
.;punct;.;;
Hann;fpken;hann;;
hleypur;sfg3en;hlaupa;;
úr;aþ;úr;;
kvíadyrunum;nvfþg;kvíadyr;;
þar;aa;þar;;
sem;c;sem;;
hann;fpken;hann;;
var;sfg3eþ;vera;;
að;cn;að;;
byrgja;sng;byrgja;;
kvíadyrnar;nvfog;kvíadyr;;
.;punct;.;;
Hann;fpken;hann;;
tekur;sfg3en;taka;;
exi;nveo;exi;;
sína;feveo;sinn;;
og;c;og;;
höggur;sfg3en;höggja;;
til;ae;til;;
Þorgeirs;nkee-s;Þorgeir;;
tveim;tfvfþ;tveir;;
höndum;nvfþ;hönd;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
laust;sfg3eþ;ljósta;;
við;aþ;við;;
spjótskafti;nheþ;spjótskaft;;
sínu;feheþ;sinn;;
við;aþ;við;;
